
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ACETOOHBUTSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 1.11.1.15-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DIHYDROXYMETVALDEHYDRAT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.7.8.12-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID TEICHOICSYN4-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DIHYDROXYISOVALDEHYDRAT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DNA-DIRECTED-DNA-POLYMERASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID HOMOCYSMET-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-2602 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DLACTDEHYDROGNAD-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID CHORISMATEMUT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID XYLISOM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-13720 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.2.2.23-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 6PGLUCONDEHYDROG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-12730 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 6PGLUCONOLACT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PGLUCISOM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DEPHOSPHOCOAKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-6182 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID THREONINE--TRNA-LIGASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PEPTIDYLPROLYL-ISOMERASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-10 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.6.3.28-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID OHMETHYLBILANESYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ARGSUCCINSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID UROGENIIISYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-5100 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PORPHOBILSYNTH-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ARGSUCCINLYA-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 6.3.4.11-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID VALINE--TRNA-LIGASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-22 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-2382 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-5114 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-6377 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-2381 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLYCPDIESTER-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PSERTRANSAM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID TRYPSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 1.13.11.49-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14073 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-2584 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-8675 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID UROPORIIIMETHYLTRANSA-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14160 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID R12-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14136 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PRAISOM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-10737 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLUTAMATE-DEHYDROGENASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID NITRATREDUCT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID IGPSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-9510 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DHBDEHYD-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ORNITHINE-GLU-AMINOTRANSFORASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-12275 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-9508 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PRTRANS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.7.7.60-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 6.1.1.13-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DNA-LIGASE-ATP-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 5.3.3.14-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DUTP-PYROP-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DIAMINOPIMEPIM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.7.7.39-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLYCERONE-KINASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.7.1.121-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-363 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PURINE-NUCLEOSIDASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GSAAMINOTRANS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GPPSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-4301 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 5.4.99.15-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-366 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ISPH2-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID LYSINE--TRNA-LIGASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ERYTHRON4PDEHYDROG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-884 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-8783 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-882 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.1.26.3-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID H2PTERIDINEPYROPHOSPHOKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11152 to buffer.
